genome	regulator	target
Streptomyces_coelicolor_A32	SCO0433	"SCO0125,SCO0314,SCO0432,SCO0457,SCO0571,SCO0627,SCO1091,SCO1092,SCO1352,SCO1353,SCO1590,SCO1649,SCO1650,SCO1702,SCO1703,SCO1782,SCO1783,SCO1977,SCO2020,SCO2121,SCO2122,SCO2319,SCO2372,SCO2377,SCO2588,SCO2696,SCO2697,SCO2728,SCO2878,SCO3098,SCO3099,SCO3154,SCO3183,SCO3235,SCO3284,SCO3322,SCO3377,SCO3408,SCO3559,SCO3721,SCO3751,SCO3869,SCO3897,SCO3898,SCO3958,SCO4156,SCO4166,SCO4167,SCO4179,SCO4213,SCO4276,SCO4400,SCO4536,SCO4680,SCO4791,SCO4871,SCO5204,SCO5310,SCO5430,SCO5697,SCO5748,SCO5748,SCO5838,SCO5999,SCO6149,SCO6150,SCO6153,SCO6245,SCO6258,SCO6443,SCO6472,SCO6681,SCO6806,SCO7139,SCO7140,SCO7176,SCO7177,SCO7364,SCO7365,SCO7565,SCO7587,SCO7614,SCO7615,SCO7660"
Streptomyces_coelicolor_A32	SCO0447	"SCO0446,SCO0447,SCO0747,SCO0748,SCO2047,SCO2048,SCO3998,SCO7638,SCO7639,SCO7707,SCO7708,SCO7709"
Streptomyces_coelicolor_A32	SCO0456	"SCO0452,SCO0453"
Streptomyces_coelicolor_A32	SCO0485	"SCO0484,SCO0485,SCO0970,SCO1412,SCO2027,SCO3010,SCO3046,SCO3167,SCO3168,SCO3463,SCO3472,SCO3603,SCO3978,SCO3979,SCO4091,SCO5038,SCO5223,SCO5383,SCO5384,SCO5448,SCO5777,SCO6198"
Streptomyces_coelicolor_A32	SCO0487	"SCO0486,SCO0487"
Streptomyces_coelicolor_A32	SCO0512	"SCO0511,SCO0512,SCO0513,SCO4192"
Streptomyces_coelicolor_A32	SCO0520	"SCO0429,SCO0430,SCO0519,SCO0520,SCO3029,SCO5068,SCO5069,SCO7648"
Streptomyces_coelicolor_A32	SCO0521	"SCO7588,SCO7589"
Streptomyces_coelicolor_A32	SCO0530	"SCO0530,SCO0531"
Streptomyces_coelicolor_A32	SCO0557	"SCO0043,SCO0378,SCO0556,SCO0557,SCO0755,SCO1550,SCO1621,SCO1648,SCO2460,SCO2850,SCO3505,SCO4506,SCO4711,SCO4712,SCO6172,SCO6516,SCO6530,SCO6570,SCO6571,SCO7020,SCO7129,SCO7535"
Streptomyces_coelicolor_A32	SCO0574	"SCO0573,SCO0574,SCO4587,SCO4588"
Streptomyces_coelicolor_A32	SCO0582	"SCO0031,SCO0033,SCO0120,SCO0136,SCO0181,SCO0324,SCO0432,SCO0505,SCO0529,SCO0530,SCO0546,SCO0550,SCO0551,SCO0581,SCO0582,SCO0609,SCO0675,SCO0720,SCO0742,SCO0743,SCO0898,SCO0930,SCO1007,SCO1018,SCO1035,SCO1132,SCO1148,SCO1160,SCO1175,SCO1206,SCO1274,SCO1315,SCO1334,SCO1397,SCO1490,SCO1491,SCO1493,SCO1699,SCO1719,SCO1828,SCO1845,SCO1885,SCO1956,SCO2007,SCO2028,SCO2029,SCO2170,SCO2299,SCO2300,SCO2307,SCO2335,SCO2344,SCO2371,SCO2449,SCO2450,SCO2462,SCO2571,SCO2666,SCO2668,SCO2669,SCO2672,SCO2673,SCO2684,SCO2685,SCO2695,SCO2696,SCO2795,SCO2940,SCO3047,SCO3156,SCO3185,SCO3306,SCO3307,SCO3319,SCO3339,SCO3340,SCO3342,SCO3356,SCO3511,SCO3556,SCO3562,SCO3573,SCO3574,SCO3605,SCO3609,SCO3662,SCO3663,SCO3674,SCO3679,SCO3697,SCO3724,SCO3725,SCO3738,SCO3775,SCO3815,SCO3842,SCO4108,SCO4120,SCO4149,SCO4203,SCO4204,SCO4223,SCO4224,SCO4250,SCO4436,SCO4451,SCO4452,SCO4498,SCO4499,SCO4557,SCO4558,SCO4565,SCO4566,SCO4675,SCO4718,SCO4719,SCO4745,SCO4763,SCO4844,SCO4845,SCO4880,SCO4940,SCO4975,SCO4984,SCO4985,SCO5048,SCO5049,SCO5105,SCO5204,SCO5323,SCO5364,SCO5376,SCO5393,SCO5452,SCO5453,SCO5544,SCO5735,SCO5747,SCO5748,SCO5773,SCO5843,SCO5860,SCO5892,SCO5893,SCO5912,SCO5977,SCO5996,SCO6024,SCO6025,SCO6069,SCO6070,SCO6099,SCO6100,SCO6110,SCO6147,SCO6167,SCO6199,SCO6266,SCO6324,SCO6362,SCO6363,SCO6408,SCO6418,SCO6428,SCO6430,SCO6515,SCO6568,SCO6569,SCO6634,SCO6635,SCO6689,SCO6738,SCO6773,SCO6838,SCO6864,SCO6926,SCO6953,SCO6962,SCO7004,SCO7059,SCO7124,SCO7178,SCO7218,SCO7220,SCO7326,SCO7386,SCO7407,SCO7458,SCO7530,SCO7609,SCO7610,SCO7647,SCO7648,SCO7671,SCO7682,SCO7707,SCO7726,SCO7763"
